,,,,,,,,,,toss
6.236545,4.707951,4.947701,4.000821,5.276785,3.919419,4.265440,5.450468,6.136737,4.271979,1.000000
4.176488,4.814454,4.878599,4.360368,5.154731,4.072798,3.254292,5.584452,6.227064,4.495556,1.000000
4.869655,4.694206,5.493279,4.762778,3.047653,3.552879,4.967027,5.677796,6.153318,4.535732,1.000000
4.219319,4.683086,6.085173,4.671069,5.730479,3.386105,3.130653,5.523257,5.859317,4.303942,1.000000
4.784633,4.648032,4.889907,4.821082,3.469472,4.495168,4.266483,5.497828,6.156322,4.521411,1.000000
5.574925,4.771322,5.433940,3.124219,4.324432,4.826242,5.114945,5.303473,6.129628,4.610101,1.000000
3.808627,4.789835,5.889640,2.550804,4.718930,4.511036,2.841633,5.529548,5.993947,4.733882,1.000000
4.375219,4.561376,5.414992,1.756065,5.881094,3.640701,3.736670,5.479806,5.999274,4.351720,1.000000
5.475801,4.715981,5.240737,3.858137,1.664760,2.907817,4.312270,5.745550,6.029037,4.499231,1.000000
5.044231,4.740484,5.236272,2.342938,3.326857,4.612182,5.894678,5.487330,6.134953,4.636113,1.000000
5.639611,4.615509,5.573738,4.563063,3.346679,4.345139,3.857427,5.668130,6.237466,4.241317,1.000000
3.198418,4.668484,5.252726,5.229656,5.132782,5.075264,4.325954,5.571094,6.144592,4.490726,1.000000
4.764960,4.800211,5.057140,3.675266,4.143559,5.222938,3.829272,5.698982,6.202599,4.571737,1.000000
5.702621,4.723642,5.156523,6.635412,4.571358,3.094872,4.570002,5.496815,6.170560,4.707755,1.000000
5.045552,4.619772,5.515823,4.063018,6.042964,5.528234,3.653332,5.721218,6.132736,4.341932,1.000000
4.494223,4.579443,5.425747,6.445415,3.619580,5.589786,3.977953,5.656290,6.292715,4.622097,1.000000
4.409618,4.701786,4.891159,4.729523,5.689848,6.873782,4.815286,5.613527,6.286314,4.661883,1.000000
3.407606,4.761367,4.796029,4.380182,3.734829,5.777168,4.958096,5.611497,6.125727,4.661464,1.000000
5.267589,4.815080,5.622983,6.677434,4.507509,5.037438,3.898040,5.442999,6.314088,4.366432,1.000000
5.025543,4.681073,5.714102,4.220527,4.215122,3.217921,4.983753,5.569674,6.038983,4.425320,1.000000
5.137915,4.770171,5.269877,5.109077,4.190483,5.160020,4.382774,5.561277,6.090071,4.413499,1.000000
4.553512,4.813077,5.005489,2.617631,4.482544,5.154760,6.116137,5.488953,6.146381,4.633098,1.000000
6.991052,4.753465,5.425568,4.337655,5.614745,3.561352,5.076719,5.327384,6.248273,4.692178,1.000000
2.998238,4.670783,5.508136,4.121101,4.540646,4.510037,3.167885,5.441761,6.000517,4.540890,1.000000
6.083069,4.792017,5.244569,4.179138,4.409780,3.068074,3.914437,5.574731,6.121050,4.578947,1.000000
4.163795,4.623871,5.354846,6.332195,4.007318,5.626639,4.011066,5.552231,6.211000,4.348752,1.000000
5.079231,4.661870,5.454543,5.893180,4.597653,4.273333,3.865254,5.589103,5.869322,4.496376,1.000000
4.532984,4.762372,5.520021,4.771996,3.313467,2.757339,4.120422,5.611577,6.151255,4.669443,1.000000
3.950497,4.661548,5.116225,3.075830,5.369161,6.148338,3.746085,5.547689,6.090648,4.611400,1.000000
4.439993,4.677211,5.248407,4.769024,2.581254,3.756463,4.960907,5.581529,6.211558,4.463969,1.000000
3.976444,4.602264,5.978994,3.420515,3.689389,3.708552,3.678697,5.663506,6.264789,4.575215,1.000000
5.008621,4.670903,5.782004,5.477676,3.461947,3.060800,3.944719,5.440798,5.984018,4.600737,1.000000
4.205283,4.577845,5.475936,3.735930,5.953305,4.326856,4.663832,5.437825,6.193379,4.699128,1.000000
