,,,toss
2.446601,3.468135,2.349602,1.000000
2.520994,3.683592,2.382317,1.000000
2.460068,4.021436,2.280521,1.000000
2.433580,2.780734,2.183573,1.000000
2.311699,4.755357,2.313749,1.000000
2.320084,2.986156,2.218753,1.000000
2.310414,3.662681,2.299557,1.000000
2.424848,1.900537,2.360186,1.000000
2.382522,5.913678,2.242311,1.000000
2.399193,3.943628,2.247451,1.000000
2.465523,3.133646,2.311605,1.000000
2.328915,4.556247,2.265389,1.000000
2.523931,3.766547,2.298629,1.000000
2.427157,4.848579,2.352303,1.000000
2.449939,2.428884,2.245824,1.000000
2.471108,2.753928,2.332852,1.000000
2.303751,5.042935,2.346173,1.000000
2.637711,2.552652,2.256956,1.000000
2.394270,4.572249,2.212310,1.000000
2.411492,4.039463,2.344653,1.000000
2.517872,3.661889,2.332712,1.000000
2.492525,3.687686,2.346370,1.000000
2.425050,2.512807,2.239325,1.000000
2.516935,5.418672,2.345784,1.000000
2.415640,4.112578,2.274845,1.000000
2.367571,3.462120,2.367308,1.000000
2.413933,1.954185,2.237095,1.000000
2.354537,3.306126,2.305150,1.000000
2.310983,4.228854,2.287132,1.000000
2.387797,1.371624,2.263349,1.000000
2.356498,4.069479,2.295155,1.000000
2.498065,3.555337,2.230478,1.000000
2.388681,4.122837,2.198011,1.000000
2.460197,3.634454,2.321743,1.000000
2.353624,1.276583,2.295132,1.000000
2.424860,3.943495,2.276888,1.000000
2.401703,3.821540,2.334804,1.000000
2.440146,3.290100,2.288002,1.000000
2.447554,4.502264,2.334712,1.000000
2.438043,1.697576,2.278407,1.000000
2.490637,4.460078,2.375771,1.000000
2.383522,3.620914,2.318712,1.000000
2.368558,3.056010,2.246027,1.000000
2.392432,4.354063,2.237087,1.000000
2.432958,5.034061,2.335461,1.000000
2.471510,3.903590,2.383894,1.000000
2.428388,4.938183,2.314192,1.000000
2.422797,5.325990,2.339511,1.000000
2.428332,2.947153,2.283267,1.000000
2.325716,4.110965,2.307883,1.000000
2.369829,3.572914,2.343640,1.000000
2.444161,3.998437,2.229279,1.000000
2.470719,5.155213,2.272696,1.000000
2.458482,3.148512,2.312729,1.000000
2.404527,3.608370,2.314171,1.000000
2.375166,4.518992,2.250659,1.000000
2.390518,5.097491,2.271271,1.000000
2.399783,4.460989,2.373651,1.000000
2.436300,4.104801,2.331884,1.000000
2.498817,4.153313,2.318169,1.000000
2.507488,3.105775,2.294670,1.000000
2.436460,3.656676,2.175416,1.000000
2.481063,1.501660,2.330945,1.000000
2.376203,1.000000,2.270865,1.000000
2.506116,4.027571,2.243494,1.000000
2.395959,3.065297,2.311275,1.000000
2.352558,2.355839,2.299530,1.000000
2.345227,5.576289,2.336502,1.000000
2.422102,3.814767,2.350605,1.000000
2.441900,3.457320,2.261525,1.000000
2.329608,4.426183,2.235264,1.000000
2.328788,3.345203,2.310380,1.000000
2.389632,2.799753,2.351069,1.000000
2.430181,5.433955,2.278266,1.000000
2.508336,3.803073,2.232460,1.000000
2.450383,3.373200,2.272889,1.000000
2.523211,4.060391,2.238835,1.000000
2.511807,4.552157,2.318440,1.000000
2.433835,4.301158,2.230305,1.000000
2.432412,2.277099,2.363369,1.000000
2.523945,2.443090,2.361840,1.000000
2.395163,3.655245,2.287736,1.000000
2.357084,2.715679,2.224371,1.000000
2.545121,2.974831,2.363230,1.000000
2.636765,6.260172,2.183042,1.000000
2.416496,3.265300,2.336997,1.000000
2.395068,4.683116,2.361548,1.000000
2.357087,3.192618,2.264295,1.000000
2.471603,2.464659,2.430213,1.000000
2.584895,4.780924,2.262171,1.000000
2.323247,2.710145,2.278383,1.000000
2.410040,3.554984,2.316869,1.000000
2.418645,4.774346,2.310516,1.000000
2.407514,3.699999,2.229441,1.000000
2.348706,3.356557,2.252301,1.000000
2.496334,3.389508,2.303897,1.000000
2.531233,2.688391,2.419174,1.000000
2.522277,4.651925,2.380555,1.000000
2.480597,2.476832,2.366005,1.000000
2.361798,5.018355,2.235238,1.000000
4.683701,4.225341,3.990928,2.000000
4.786973,6.152207,3.963717,2.000000
4.856160,4.980268,4.027152,2.000000
4.963487,2.739201,3.921628,2.000000
4.938227,2.872675,3.989360,2.000000
4.779924,4.033457,4.019106,2.000000
4.944380,3.835224,3.924291,2.000000
4.911925,3.787146,3.896771,2.000000
4.917369,3.135039,3.958033,2.000000
4.811927,2.924750,3.868143,2.000000
4.788808,3.981514,4.001577,2.000000
4.847180,5.638576,3.975229,2.000000
4.942420,4.819262,3.920003,2.000000
4.932390,3.786334,3.851874,2.000000
4.892643,1.582717,3.986328,2.000000
4.914606,2.941107,4.054804,2.000000
4.888301,2.958654,4.032523,2.000000
4.862101,4.780911,3.918563,2.000000
4.714632,1.443394,3.957210,2.000000
4.665889,5.267847,3.866111,2.000000
4.894586,4.577097,3.862315,2.000000
4.836202,3.680399,4.007816,2.000000
4.911939,4.880003,4.046903,2.000000
4.852171,2.178529,3.828813,2.000000
4.861415,3.961026,3.879469,2.000000
4.975728,2.959501,3.999551,2.000000
5.005611,4.249329,3.937136,2.000000
4.875852,4.092842,3.872465,2.000000
4.819321,1.780300,3.934466,2.000000
4.729227,2.954855,3.907197,2.000000
4.806208,4.023569,3.971761,2.000000
4.914899,3.425405,3.970138,2.000000
4.865313,3.641052,4.029429,2.000000
4.819657,2.785321,4.019045,2.000000
4.891892,3.636604,3.982946,2.000000
4.971049,4.095454,3.936719,2.000000
4.888790,3.647351,3.822436,2.000000
4.865408,3.277469,4.001798,2.000000
4.868142,3.326550,4.074110,2.000000
4.874916,3.382956,4.069649,2.000000
4.929649,3.130667,3.914095,2.000000
4.918369,2.342687,3.927674,2.000000
4.828451,3.737308,3.996150,2.000000
4.870590,3.194609,3.952047,2.000000
4.851931,4.528080,3.886731,2.000000
4.678404,3.030922,3.931942,2.000000
4.923699,2.577179,3.874434,2.000000
4.921942,5.217279,3.930820,2.000000
4.937826,2.995793,3.923026,2.000000
5.007306,3.144075,3.933288,2.000000
4.815534,3.136213,3.908296,2.000000
4.786719,3.955825,3.920939,2.000000
4.873811,2.440263,3.999622,2.000000
4.882766,3.922862,3.978171,2.000000
4.785502,4.039720,3.989391,2.000000
4.801763,1.830859,3.900051,2.000000
4.806835,3.181915,3.931890,2.000000
4.769880,4.441507,3.943474,2.000000
4.728921,4.615103,4.022361,2.000000
4.965128,4.581702,4.067355,2.000000
5.020833,3.393390,3.907239,2.000000
4.851277,2.924096,3.951039,2.000000
4.801912,4.350971,3.944600,2.000000
4.825582,4.737543,3.990253,2.000000
4.771575,1.510810,3.932484,2.000000
4.834823,4.016184,3.883053,2.000000
4.802375,3.911314,3.876646,2.000000
4.937289,4.931342,3.953364,2.000000
4.838925,5.359961,3.890763,2.000000
4.940801,4.157370,3.997752,2.000000
4.911672,4.658953,3.925424,2.000000
4.811160,3.407515,3.951904,2.000000
4.863906,3.102039,3.932188,2.000000
4.877224,3.673429,4.027419,2.000000
4.898487,3.556306,3.941278,2.000000
4.942135,3.035510,3.981426,2.000000
4.932078,1.910610,3.929850,2.000000
4.833630,4.129511,4.001964,2.000000
4.887868,4.354557,3.994436,2.000000
4.912139,5.085876,3.972033,2.000000
4.863198,4.810430,4.060620,2.000000
4.848240,2.596532,3.934515,2.000000
4.898533,5.920374,4.004704,2.000000
4.810958,3.874567,3.986590,2.000000
4.914940,2.335363,3.953516,2.000000
4.797982,4.351058,3.949400,2.000000
4.873495,3.384554,3.918399,2.000000
4.912530,3.825968,4.071330,2.000000
4.889535,2.328825,3.893709,2.000000
4.871979,5.141889,4.064557,2.000000
4.901710,2.658806,4.030395,2.000000
4.906657,3.638583,4.088814,2.000000
4.891733,2.924199,3.919966,2.000000
4.881831,3.650307,4.043894,2.000000
4.947816,2.206762,3.990364,2.000000
4.846356,4.207184,3.860303,2.000000
4.917378,3.076456,3.896588,2.000000
4.948740,4.913855,4.061397,2.000000
4.758720,3.232686,3.924510,2.000000
4.930057,4.663224,3.984858,2.000000
3.567255,3.156514,4.646199,3.000000
3.582032,4.877245,4.619913,3.000000
3.710497,3.756519,4.483410,3.000000
3.736373,3.044413,4.685908,3.000000
3.726203,3.249288,4.598464,3.000000
3.588268,3.777786,4.647092,3.000000
3.607434,2.863321,4.595317,3.000000
3.683319,4.499556,4.685136,3.000000
3.652326,3.838137,4.712512,3.000000
3.591159,4.963594,4.644973,3.000000
3.635468,4.529860,4.664874,3.000000
3.554360,3.508432,4.624014,3.000000
3.625513,3.752445,4.634289,3.000000
3.795184,3.517496,4.592919,3.000000
3.586257,2.308788,4.814696,3.000000
3.673726,5.889780,4.629845,3.000000
3.617834,2.449053,4.615382,3.000000
3.499535,3.552947,4.743133,3.000000
3.655478,1.621920,4.674516,3.000000
3.755182,2.695910,4.722158,3.000000
3.762863,2.318974,4.756073,3.000000
3.629781,5.144139,4.731508,3.000000
3.751627,4.117847,4.598114,3.000000
3.709591,3.636829,4.639021,3.000000
3.702077,3.023920,4.603099,3.000000
3.724390,2.276851,4.657835,3.000000
3.594989,4.330114,4.832843,3.000000
3.725857,5.102753,4.723154,3.000000
3.647635,2.791943,4.568335,3.000000
3.628508,4.196722,4.644528,3.000000
3.716134,2.834457,4.675816,3.000000
3.611501,3.719396,4.691684,3.000000
3.548779,3.701573,4.653744,3.000000
3.612404,3.954205,4.713250,3.000000
3.551296,3.207668,4.749021,3.000000
3.603716,1.412776,4.683891,3.000000
3.517661,3.888087,4.769437,3.000000
3.717792,3.383901,4.685057,3.000000
3.748553,3.086270,4.695832,3.000000
3.651369,3.820406,4.682711,3.000000
3.508457,5.828260,4.661169,3.000000
3.699043,4.101780,4.731670,3.000000
3.549082,4.839653,4.705549,3.000000
3.612953,4.069846,4.638864,3.000000
3.611723,2.815205,4.640288,3.000000
3.549662,3.870402,4.663036,3.000000
3.617586,3.213567,4.721380,3.000000
3.602029,2.958117,4.632421,3.000000
3.619005,4.200396,4.644601,3.000000
3.597346,2.349298,4.737597,3.000000
3.557813,4.751315,4.693837,3.000000
3.711415,4.452548,4.777808,3.000000
3.614979,2.562732,4.610763,3.000000
3.764540,4.267833,4.688547,3.000000
3.721894,2.694894,4.652428,3.000000
3.668140,4.696441,4.709582,3.000000
3.522184,3.385687,4.769171,3.000000
3.575982,2.793182,4.613126,3.000000
3.633457,2.217985,4.719970,3.000000
3.590612,2.495771,4.690249,3.000000
3.724845,3.437254,4.655373,3.000000
3.675244,3.301815,4.618369,3.000000
3.673903,4.743910,4.665126,3.000000
3.747749,2.319482,4.580018,3.000000
3.693936,3.608042,4.793745,3.000000
3.641683,3.307370,4.688834,3.000000
3.684343,2.112471,4.690205,3.000000
3.619812,3.141320,4.712375,3.000000
3.705170,3.142464,4.708510,3.000000
3.640285,4.819901,4.693009,3.000000
3.568560,2.121753,4.727660,3.000000
3.687360,3.314729,4.689993,3.000000
3.579063,4.010911,4.643729,3.000000
3.592993,2.226531,4.663203,3.000000
3.608666,4.003132,4.591371,3.000000
3.625371,2.921714,4.600406,3.000000
3.577048,4.786907,4.720200,3.000000
3.652324,5.425448,4.722775,3.000000
3.693690,5.461236,4.712429,3.000000
3.487720,2.752712,4.629554,3.000000
3.564877,4.497716,4.689539,3.000000
3.653023,5.287737,4.724224,3.000000
3.577971,4.450098,4.741767,3.000000
3.644436,2.012911,4.671174,3.000000
3.651892,4.134666,4.685694,3.000000
3.535369,2.466843,4.649925,3.000000
3.547363,3.474646,4.616102,3.000000
3.605659,3.101410,4.730656,3.000000
3.680647,4.249380,4.714445,3.000000
3.681381,4.455232,4.687023,3.000000
3.519550,3.089775,4.779120,3.000000
3.721299,5.481866,4.646025,3.000000
3.557618,2.690009,4.601137,3.000000
3.708959,3.841370,4.739868,3.000000
3.613694,3.993231,4.705809,3.000000
3.599598,3.456257,4.653784,3.000000
3.688226,2.888230,4.795942,3.000000
3.611319,3.989833,4.672715,3.000000
3.715785,3.425832,4.601617,3.000000
3.630607,1.848437,4.628375,3.000000
